lid,date,image,site,mean.c2rcc_flags.img,mean.conc_chl.img,mean.conc_tsm.img,mean.iop_adet.img,mean.iop_adg.img,mean.iop_agelb.img,mean.iop_apig.img,mean.iop_atot.img,mean.iop_bpart.img,mean.iop_btot.img,mean.iop_bwit.img,mean.kd489.img,mean.kdmin.img,mean.kd_z90max.img,mean.latitude.img,mean.longitude.img,mean.pixel_classif_flags.img,mean.quality_flags.img,mean.rhow_10.img,mean.rhow_11.img,mean.rhow_12.img,mean.rhow_16.img,mean.rhow_17.img,mean.rhow_18.img,mean.rhow_1.img,mean.rhow_21.img,mean.rhow_2.img,mean.rhow_3.img,mean.rhow_4.img,mean.rhow_5.img,mean.rhow_6.img,mean.rhow_7.img,mean.rhow_8.img,mean.rhow_9.img,mean.rhown_10.img,mean.rhown_11.img,mean.rhown_12.img,mean.rhown_16.img,mean.rhown_17.img,mean.rhown_18.img,mean.rhown_1.img,mean.rhown_21.img,mean.rhown_2.img,mean.rhown_3.img,mean.rhown_4.img,mean.rhown_5.img,mean.rhown_6.img,mean.rhown_7.img,mean.rhown_8.img,mean.rhown_9.img,mean.rtoa_10.img,mean.rtoa_11.img,mean.rtoa_12.img,mean.rtoa_13.img,mean.rtoa_14.img,mean.rtoa_15.img,mean.rtoa_16.img,mean.rtoa_17.img,mean.rtoa_18.img,mean.rtoa_19.img,mean.rtoa_1.img,mean.rtoa_20.img,mean.rtoa_21.img,mean.rtoa_2.img,mean.rtoa_3.img,mean.rtoa_4.img,mean.rtoa_5.img,mean.rtoa_6.img,mean.rtoa_7.img,mean.rtoa_8.img,mean.rtoa_9.img,mean.unc_adet.img,mean.unc_adg.img,mean.unc_agelb.img,mean.unc_apig.img,mean.unc_atot.img,mean.unc_bpart.img,mean.unc_btot.img,mean.unc_bwit.img,mean.unc_chl.img,mean.unc_kd489.img,mean.unc_kdmin.img,mean.unc_kd_z90max.img,mean.unc_tsm.img,idpix,idepixflag,date_nzst.x,name,area,perimeter,loc_key,site_name,date_nzst.y,tss_insitu,var,dateDiff
12873,2020-12-14,S3B_OL_1_EFR____20201214T211826_20201214T212126_20201216T012704_0179_046_385_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Numiti,-1111701248,0.139011353254318,222.481796264648,55.9202079772949,59.5545692443848,3.63435888290405,0.00802870001643896,59.5625991821289,0.000936714000999928,291.713195800781,291.712219238281,72.4069442749023,30.6808910369873,0.0325935781002045,-38.1778564453125,174.728485107422,493.891418457031,-1861165568,0.012741289101541,0.0123183224350214,0.0181763749569654,0.0200731940567493,0.022915979847312,0.0221591982990503,0.000888098496943712,0.00629087816923857,0.000999754760414362,0.00141842197626829,0.00227395468391478,0.00288668880239129,0.0041089253500104,0.00735641596838832,0.0113499136641622,0.012402031570673,0.00849231705069542,0.00978132430464029,0.0124316634610295,0,0,0,0.000721752410754561,0,0.000877682818099856,0.00132618600036949,0.0020631814841181,0.00240263855084777,0.00331357261165977,0.00519682234153152,0.00771737704053521,0.00837666727602482,0.0633730813860893,0.106531724333763,0.205655589699745,0.0519831031560898,0.0961026549339294,0.183277934789658,0.211246594786644,0.221956685185432,0.222078740596771,0.160108864307404,0.2408507168293,0.0586093217134476,0.228290915489197,0.221613556146622,0.177307039499283,0.130361184477806,0.117660142481327,0.104414157569408,0.076868399977684,0.0656209662556648,0.0638512223958969,5.96629619598389,5.79894161224365,0.967375338077545,0.00572444079443812,6.27229690551758,0.000687382067553699,41.1431007385254,35.5171127319336,0.0977826192975044,4.50010919570923,1.90682458877563,0.00215994077734649,35.1539115905762,0,OK,2020-12-15,Lake Numiti,157611.734375,1909.74134765716,3108_1,Lakes Numiti,2020-12-15,10,TSS,0
14406,2021-03-23,S3B_OL_1_EFR____20210323T215206_20210323T215506_20210325T021642_0179_050_257_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Ngaroto,-1488242560,83.6476058959961,33.3544082641602,9.32185459136963,11.5956563949585,2.27380180358887,3.77682065963745,15.3724775314331,13.3068790435791,38.9334144592285,25.6265335083008,14.6295680999756,6.70114421844482,0.150082245469093,-37.9556846618652,175.289093017578,314.350555419922,-1775422848,0.00657688500359654,0.0101571930572391,0.00679527968168259,0.00762629648670554,0.00430938554927707,0.00373730016872287,0.00313938432373106,0.000730555562768131,0.00329406908713281,0.0037706505972892,0.00476253777742386,0.00526469526812434,0.00639943452551961,0.00709614064544439,0.00641769217327237,0.00613267626613379,0.00630075298249722,0.0090088527649641,0.00661612767726183,0,0,0,0.00326812523417175,0,0.00345197273418307,0.00392211973667145,0.0048830034211278,0.00534441415220499,0.00659970473498106,0.00709178205579519,0.00623459136113524,0.00596039602532983,0.0442647039890289,0.0698281452059746,0.0743411183357239,0.0196812003850937,0.0367623195052147,0.0661403611302376,0.074045330286026,0.0654307976365089,0.0629771277308464,0.0416925735771656,0.161950677633286,0.0118136061355472,0.0745495110750198,0.148436367511749,0.118939407169819,0.0887337625026703,0.0797741934657097,0.0696467310190201,0.0543207675218582,0.0455783978104591,0.0442084781825542,0.843378663063049,0.888504445552826,0.298053503036499,0.272771507501602,0.990361988544464,1.92499160766602,3.50726103782654,2.82824778556824,5.4381856918335,0.736841022968292,0.337542176246643,0.00794733688235283,3.45515990257263,0,OK,2021-03-24,Lake Ngaroto,918030.140625,5024.49269340399,303_17,Lake Ngaroto,2021-03-24,52,TSS,0
14406,2021-06-21,S3A_OL_1_EFR____20210621T215759_20210621T220059_20210623T024251_0179_073_143_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Ngaroto,-2147458560,5.01086139678955,112.138374328613,43.5364074707031,47.9224128723145,4.3860034942627,0.23676498234272,48.1591796875,3.69213032722473,143.145690917969,139.453552246094,57.6305503845215,23.7851943969727,0.0792939215898514,-37.9554023742676,175.289031982422,0,-1610612864,0.00774328783154488,0.00789570435881615,0.00880156084895134,0.00972372852265835,0.0104482248425484,0.0100967353209853,0.00184429110959172,0.00296060577966273,0.00199593743309379,0.00247374270111322,0.00349547457881272,0.00411371141672134,0.00535423960536718,0.00617821794003248,0.00708319479599595,0.00744632817804813,0.0069313570857048,0.00769868539646268,0.00757166650146246,0,0,0,0.00186846440192312,0,0.00207984633743763,0.0026810213457793,0.00366121716797352,0.00399972172454,0.0050155664794147,0.00579721527174115,0.00662644393742085,0.00684350403025746,0.0460985861718655,0.0563162714242935,0.0726187005639076,0.0161516424268484,0.0333198830485344,0.0645929872989655,0.0709875971078873,0.0631225407123566,0.0590905025601387,0.0380826592445374,0.194778025150299,0.010624947026372,0.069412998855114,0.179643914103508,0.144301801919937,0.106088511645794,0.0940615460276604,0.0757232531905174,0.0570623464882374,0.0476107560098171,0.0460900105535984,5.55832242965698,5.27160930633545,1.03827631473541,0.0245536584407091,5.2563738822937,1.69146132469177,20.1118011474609,18.976692199707,0.464758455753326,4.10931730270386,1.66376709938049,0.00496027385815978,17.6665115356445,0,OK,2021-06-22,Lake Ngaroto,918030.140625,5024.49269340399,303_17,Lake Ngaroto,2021-06-22,22,TSS,0
15022,2021-03-23,S3B_OL_1_EFR____20210323T215206_20210323T215506_20210325T021642_0179_050_257_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Rotoroa,-1320327936,0.892377912998199,0.527280628681183,13.0572233200073,24.0841064453125,11.0268840789795,0.0474807731807232,24.1315898895264,0.354870438575745,0.4863421022892,0.131471663713455,28.2677154541016,9.02834320068359,1.47118735313416,-37.7994728088379,175.275527954102,394.409027099609,-1817396736,0.00265537458471954,0.00166570383589715,0.0016115166945383,0.00180689280387014,0.00215872563421726,0.00213107815943658,0.00113488279748708,0.000698133313562721,0.00127875991165638,0.00179832184221596,0.00284100905992091,0.00331540312618017,0.00383669137954712,0.00250335526652634,0.00247566169127822,0.00264656380750239,0.00271282973699272,0.00213599321432412,0.00122021208517253,0,0,0,0.00122862705029547,0,0.00148109986912459,0.00221825018525124,0.00308599416166544,0.00321781495586038,0.00337163638323545,0.00288902735337615,0.00276597682386637,0.00275599444285035,0.0584094673395157,0.0756866782903671,0.127700477838516,0.0354561768472195,0.0655409470200539,0.117413058876991,0.131948247551918,0.141928791999817,0.142502889037132,0.0972253158688545,0.16758781671524,0.0295963454991579,0.152733087539673,0.155115067958832,0.126599833369255,0.0973229482769966,0.0886431485414505,0.0787771791219711,0.0643530189990997,0.0593547970056534,0.058591116219759,3.73976588249207,5.77576684951782,3.27247166633606,0.0191202107816935,6.94633007049561,0.165962994098663,0.141586765646935,0.0521694719791412,0.345466107130051,4.33902072906494,1.37641751766205,0.136634454131126,0.166635051369667,0,OK,2021-03-24,Lake Rotoroa,519612.640625,3682.0549171255,319_1,Lake Rotoroa (Hamilton lake),2021-03-24,2,TSS,0
15022,2021-06-21,S3A_OL_1_EFR____20210621T215759_20210621T220059_20210623T024251_0179_073_143_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Rotoroa,-1184772352,11.5401420593262,5.22690439224243,6.11555576324463,8.3126974105835,2.1971423625946,0.555955350399017,8.86865329742432,1.70837593078613,5.57296133041382,3.86458539962769,9.12154006958008,4.4430103302002,1.02254927158356,-37.7994918823242,175.275436401367,459.053436279297,-1851288960,0.00123642489779741,0.00109118223190308,0.000800583802629262,0.000869119598064572,0.000609184382483363,0.000553514866624027,0.000650045170914382,0.000143063967698254,0.000698371906764805,0.000868639501277357,0.00114131532609463,0.00125556439161301,0.00143086619209498,0.00125455646775663,0.0011511945631355,0.00119291711598635,0.00133781274780631,0.0012350445613265,0.000823717855382711,0,0,0,0.000737984373699874,0,0.000818665081169456,0.00102398067247123,0.00129809591453522,0.00136269850190729,0.00149260088801384,0.00133290444500744,0.00125506066251546,0.00128844531718642,0.0458159521222115,0.0544981248676777,0.0861354023218155,0.0210244208574295,0.0409952402114868,0.0777074918150902,0.0866800844669342,0.0860778018832207,0.0843489989638329,0.0556121878325939,0.19679519534111,0.0161148551851511,0.0899923071265221,0.181902781128883,0.146287634968758,0.107153028249741,0.0942978411912918,0.0740112215280533,0.0540417693555355,0.0476118586957455,0.0464944913983345,0.629916489124298,0.849062919616699,0.366211920976639,0.112772598862648,0.931669175624847,0.290403991937637,0.578305006027222,0.496940135955811,2.19082379341125,0.520715177059174,0.255183637142181,0.0901830121874809,0.622028648853302,0,OK,2021-06-22,Lake Rotoroa,519612.640625,3682.0549171255,319_1,Lake Rotoroa (Hamilton lake),2021-06-22,4,TSS,0
15034,2020-02-11,S3A_OL_1_EFR____20200211T211638_20200211T211938_20200213T011040_0179_054_385_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Areare,-1247133696,0.303059875965118,248.388412475586,57.3014717102051,57.6469497680664,0.345476359128952,0.0169865414500237,57.663932800293,0.00108502444345504,327.897613525391,327.896514892578,72.5174789428711,30.7962093353271,0.0324715301394463,-37.6671752929688,175.201034545898,429.311279296875,-1827307008,0.0155298979952931,0.0159394573420286,0.0228716917335987,0.0252031143754721,0.0274919588118792,0.0263991691172123,0.0015086424537003,0.00722967367619276,0.00163921527564526,0.0021567300427705,0.00321679934859276,0.00401169713586569,0.00544210523366928,0.00948404520750046,0.0140324961394072,0.0150966085493565,0.0100919613614678,0.0119124222546816,0.0154239246621728,0,0,0,0.00115718424785882,0,0.00133986980654299,0.00186630978714675,0.0027102823369205,0.00310445996001363,0.00415508728474379,0.00630390830338001,0.00932580884546041,0.0100355166941881,0.132088243961334,0.158094167709351,0.220931574702263,0.0568517707288265,0.107581652700901,0.201259925961494,0.229120284318924,0.251162558794022,0.252603113651276,0.157489314675331,0.286841541528702,0.0387628860771656,0.287096947431564,0.265800923109055,0.220613807439804,0.173528462648392,0.159236878156662,0.13999155163765,0.127012729644775,0.130072996020317,0.131136626005173,6.46237993240356,6.13624334335327,0.247489705681801,0.0136664155870676,6.21268892288208,0.000762387819122523,47.7791595458984,32.8872833251953,0.241713061928749,4.67346334457397,1.98469340801239,0.00223681353963912,40.4714279174805,0,OK,2020-02-12,Lake Areare,304449.380859375,2759.87727005546,290_2,Lake Areare,2020-02-12,9,TSS,0
21370,2020-12-16,S3A_OL_1_EFR____20201216T210523_20201216T210823_20201218T001619_0179_066_171_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Rotopounamu,-2124594944,0.516951739788055,0.195187374949455,0.0794851332902908,0.111802719533443,0.0323175862431526,0.0283831879496574,0.140185907483101,0.0445714183151722,0.165933325886726,0.121361911296844,0.126362174749374,0.129976943135262,7.70078802108765,-39.0269317626953,175.737030029297,285.975830078125,-1607946240,0.000459987408248708,0.000220286499825306,6.64424005663022e-05,7.12393448338844e-05,2.89251220237929e-05,2.42358728428371e-05,0.00384560273960233,4.34429648521473e-06,0.00403619976714253,0.00420794822275639,0.00428956095129251,0.00343540776520967,0.00244312593713403,0.000752744730561972,0.000461206975160167,0.000467296136775985,0.000466014200355858,0.000227408629143611,6.67703134240583e-05,0,0,0,0.00429530395194888,0,0.00450838543474674,0.00468176882714033,0.00445946725085378,0.00359782436862588,0.00253614783287048,0.000773399893660098,0.000476145709399134,0.000478128757094964,0.0454015210270882,0.0665320232510567,0.114925928413868,0.0339728482067585,0.0620385073125362,0.106464825570583,0.116804301738739,0.121913805603981,0.121059887111187,0.0993650779128075,0.252224266529083,0.0524897687137127,0.134553968906403,0.230502158403397,0.183777987957001,0.133216291666031,0.117774851620197,0.0953195840120316,0.060947597026825,0.0486388392746449,0.0466692671179771,0.00948124565184116,0.00915669463574886,0.00242972373962402,0.00474755465984344,0.00636599538847804,0.0106363752856851,0.0153942806646228,0.0176241062581539,0.0804933160543442,0.00469997990876436,0.00483480840921402,0.297736048698425,0.0207854267209768,0,OK,2020-12-17,Lake Rotopounamu,851262.653320312,3833.0978606467,3226_1,Lake Rotopounamu,2020-12-17,2,TSS,0
41314,2017-12-20,S3A_OL_1_EFR____20171220T211628_20171220T211928_20171222T015111_0180_025_385_3599_LN1_O_NT_002.SEN3c2rcc.data,Lake Waahi,-2147483648,20.9732265472412,65.2228393554688,2.04158353805542,5.68129539489746,3.63971185684204,0.998209416866302,6.67950487136841,4.74189615249634,79.3167572021484,74.5748672485352,6.65080547332764,3.12934637069702,0.320519745349884,-37.5575866699219,175.128936767578,0,-1602224128,0.0427432991564274,0.0514630787074566,0.0240125264972448,0.0265432000160217,0.0121461357921362,0.0102441944181919,0.013055038638413,0.00171524076722562,0.0144316256046295,0.018938597291708,0.0294518545269966,0.0364202260971069,0.0525076761841774,0.0557660721242428,0.0445282720029354,0.0412059091031551,0.0306213777512312,0.0377765670418739,0.0169741865247488,0,0,0,0.00983533728867769,0,0.0110300946980715,0.0146766481921077,0.0224122833460569,0.0264754313975573,0.0376835502684116,0.040496252477169,0.0319589227437973,0.0292470101267099,0.109674721956253,0.110043726861477,0.0768252462148666,0.0216106791049242,0.0387239530682564,0.0678351372480392,0.0737010389566422,0.0480614751577377,0.0419954843819141,0.0258652791380882,0.260289460420609,0.00647957110777497,0.0411567501723766,0.240654692053795,0.199598535895348,0.16096656024456,0.15225413441658,0.142883002758026,0.123019531369209,0.113151215016842,0.110043071210384,0.220108479261398,0.718138158321381,0.554531216621399,0.106801226735115,0.69653731584549,1.27231049537659,10.4268579483032,9.43915462493896,2.05341601371765,0.447488784790039,0.200344324111938,0.022182809188962,9.61386108398438,0,OK,2017-12-21,Lake Waahi,4447101.08300781,14642.0266508633,324_2,Lake Waahi,2017-12-21,45,TSS,0
41314,2019-02-14,S3B_OL_1_EFR____20190214T220306_20190214T220606_20200111T205956_0179_022_086_3600_MR1_R_NT_002.SEN3c2rcc.data,Lake Waahi,-2147473664,23.5084037780762,39.1740875244141,1.86345732212067,2.63631844520569,0.772861242294312,1.11383485794067,3.75015330314636,30.0954647064209,46.1862258911133,16.0907611846924,3.9456901550293,2.34523034095764,0.432267069816589,-37.5585479736328,175.128723144531,0,-1606418560,0.0273122172802687,0.032767828553915,0.0123833771795034,0.0137716708704829,0.00546660320833325,0.00451231142506003,0.019377525895834,0.000705151236616075,0.0204935390502214,0.0235753301531076,0.0306738093495369,0.0350043475627899,0.0449280440807343,0.039888221770525,0.0283726789057255,0.0259941946715117,0.024377528578043,0.0292795468121767,0.0113883893936872,0,0,0,0.0179974250495434,0,0.0191685296595097,0.0220330730080605,0.0287727080285549,0.0320351235568523,0.0410350449383259,0.0367289073765278,0.0259366352111101,0.0234304685145617,0.0491360798478127,0.0561352372169495,0.0274292007088661,0.00829692091792822,0.0139612900093198,0.0237539708614349,0.0256839822977781,0.0135979102924466,0.0106560960412025,0.00631695427000523,0.143096029758453,0.00204802304506302,0.0113672511652112,0.131746888160706,0.107009969651699,0.0856291130185127,0.082764595746994,0.0863469988107681,0.0702750757336617,0.0532549880445004,0.0494503527879715,0.159570291638374,0.260236859321594,0.126396089792252,0.0968905165791512,0.294464528560638,3.67882871627808,4.08492183685303,4.43727970123291,1.85403895378113,0.211529687047005,0.12308719009161,0.0283335112035275,3.98505878448486,0,OK,2019-02-15,Lake Waahi,4447101.08300781,14642.0266508633,324_2,Lake Waahi,2019-02-15,35,TSS,0
41314,2020-09-03,S3B_OL_1_EFR____20200903T220318_20200903T220618_20200905T020219_0179_043_086_3600_LN1_O_NT_002.SEN3c2rcc.data,Lake Waahi,-2147474432,10.0674200057983,44.8466339111328,1.15324950218201,2.14896440505981,0.995715022087097,0.493030667304993,2.64199495315552,0.0305102672427893,53.281421661377,53.2509078979492,3.37673473358154,2.04089188575745,0.49048638343811,-37.5579643249512,175.129928588867,0,-1610612864,0.0420129224658012,0.0442676693201065,0.0165396761149168,0.0184430610388517,0.00740864034742117,0.00613834522664547,0.0097126392647624,0.000971649482380599,0.0113991275429726,0.0169820580631495,0.0302831009030342,0.0382968187332153,0.057471290230751,0.0559597201645374,0.0434233136475086,0.0405737981200218,0.0372003354132175,0.0402734838426113,0.0144192017614841,0,0,0,0.00904460065066814,0,0.0107874721288681,0.0161832496523857,0.0283013768494129,0.0346602872014046,0.0513482876121998,0.0515235848724842,0.0392949730157852,0.0358937047421932,0.0829597413539886,0.0772133842110634,0.0406442657113075,0.0116291996091604,0.0195452645421028,0.0349705144762993,0.0382766611874104,0.0228344667702913,0.0194733291864395,0.0144923618063331,0.162699848413467,0.00629987800493836,0.0170194264501333,0.150661408901215,0.125464469194412,0.10719707608223,0.10552453994751,0.108562111854553,0.0919886156916618,0.0878502875566483,0.0841013342142105,0.141632199287415,0.302791118621826,0.170885488390923,0.0707691237330437,0.307798802852631,0.0255932100117207,12.7574663162231,8.11832046508789,1.33679986000061,0.324677795171738,0.194916069507599,0.0526916459202766,11.6574487686157,0,OK,2020-09-04,Lake Waahi,4447101.08300781,14642.0266508633,324_2,Lake Waahi,2020-09-04,30,TSS,0
